notarealmovie, fakegenre, fakedirector, fakeactor
The Guard,Comedy,John Michael McDonagh,Don Cheadle
The Guilt Trip,Comedy,Anne Fletcher,Miriam Margolyes
The Gunman,Action,Pierre Morel,Ray Winstone
The Guru,Comedy,Daisy von Scherler Mayer,Michael McKean
The Hadza: Last of the First,Documentary,Bill Benenson,Alfre Woodard
The Hammer,Comedy,Charles Herman-Wurmfeld,John Enos III
The Hangover,Comedy,Todd Phillips,Bradley Cooper
The Hangover Part II,Comedy,Todd Phillips,Bradley Cooper
The Happening,SciFi,M. Night Shyamalan,Zooey Deschanel
The Hateful Eight,Crime,Quentin Tarantino,Craig Stark
The Haunted Mansion,Comedy,Rob Minkoff,Marsha Thomason
The Haunting,Fantasy,Jan de Bont,Liam Neeson
The Haunting in Connecticut 2: Ghosts of Georgia,Drama,Tom Elkins,Abigail Spencer
The Haunting of Molly Hartley,Drama,Mickey Liddell,Jessica Lowndes
The Heart of Me,Drama,Thaddeus O'Sullivan,Olivia Williams
The Heat,Action,Paul Feig,Michael Rapaport
The Hebrew Hammer,Comedy,Jonathan Kesselman,Judy Greer
The Helix... Loaded,Action,A. Raven Cruz,Scott Levy
The Help,Drama,Tate Taylor,Emma Stone
The Hills Have Eyes,Horror,Alexandre Aja,Dan Byrd
The Hills Have Eyes II,Horror,Martin Weisz,Jeff Kober
The History Boys,Comedy,Nicholas Hytner,Dominic Cooper
The Hit List,Action,William Kaufman,Drew Waters
The Hitchhiker's Guide to the Galaxy,Adventure,Garth Jennings,Zooey Deschanel
The Hoax,Comedy,Lasse Hallström,Hope Davis
The Hobbit: The Battle of the Five Armies,Adventure,Peter Jackson,Aidan Turner
The Hobbit: The Desolation of Smaug,Adventure,Peter Jackson,Aidan Turner
The Hole,Adventure,Joe Dante,Bruce Dern
The Holiday,Comedy,Nancy Meyers,Kate Winslet
The Holy Girl,Drama,Lucrecia Martel,Mía Maestro
The Homesman,Drama,Tommy Lee Jones,Barry Corbin
The Horror Network Vol. 1,Horror,Brian Dorton,Javier Botet
The Horse Boy,Documentary,Michel Orion Scott,Temple Grandin
The Horse Whisperer,Drama,Robert Redford,Scarlett Johansson
The Horseman on the Roof,Adventure,Jean-Paul Rappeneau,Olivier Martinez
The Host,Action,Andrew Niccol,J.D. Evermore
The Host,Comedy,Joon-ho Bong,Doona Bae
The Hotel New Hampshire,Comedy,Tony Richardson,Joely Richardson
The Hours,Drama,Stephen Daldry,Meryl Streep
The House Bunny,Comedy,Fred Wolf,Emma Stone
The House of Mirth,Drama,Terence Davies,Eric Stoltz
The House of the Devil,Horror,Ti West,Lena Dunham
The Howling,Horror,Joe Dante,Patrick Macnee
The Hudsucker Proxy,Comedy,Joel Coen,Jennifer Jason Leigh
The Hunchback of Notre Dame,Animation,Gary Trousdale,Demi Moore
The Hundred-Foot Journey,Comedy,Lasse Hallström,Manish Dayal
The Hunger Games,Adventure,Gary Ross,Jennifer Lawrence
The Hunger Games: Catching Fire,Adventure,Francis Lawrence,Jennifer Lawrence
The Hunger Games: Mockingjay - Part 1,Adventure,Francis Lawrence,Jennifer Lawrence
The Hunger Games: Mockingjay - Part 2,Adventure,Francis Lawrence,Jennifer Lawrence
The Hunt,Drama,Thomas Vinterberg,Thomas Bo Larsen
The Hunt for Red October,Action,John McTiernan,Scott Glenn
The Hunted,Action,William Friedkin,Connie Nielsen
The Hunting Party,Adventure,Richard Shepard,James Brolin
The Huntsman: Winter's War,Action,Cedric Nicolas-Troyan,Chris Hemsworth
The Hurricane,Biography,Norman Jewison,Denzel Washington
The Hurt Locker,Drama,Kathryn Bigelow,Jeremy Renner
The Hustler,Drama,Robert Rossen,George C. Scott
The I Inside,Mystery,Roland Suso Richter,Stephen Graham
The Ice Pirates,Action,Stewart Raffill,Anjelica Huston
The Ice Storm,Drama,Ang Lee,Joan Allen
The Iceman,Biography,Ariel Vromen,Chris Evans
The Ides of March,Drama,George Clooney,Ryan Gosling
The Illusionist,Drama,Neil Burger,Rufus Sewell
The Illusionist,Drama,Neil Burger,Rufus Sewell
The Image Revolution,Biography,Patrick Meaney,Taliesin Jaffe
The Imaginarium of Doctor Parnassus,Adventure,Terry Gilliam,Andrew Garfield
The Imitation Game,Biography,Morten Tyldum,Benedict Cumberbatch
The Immigrant,Drama,James Gray,Jeremy Renner
The Importance of Being Earnest,Comedy,Oliver Parker,Colin Firth
The Impossible,Drama,J.A. Bayona,Naomi Watts
The In Crowd,Drama,Mary Lambert,Matthew Settle
The Incredible Burt Wonderstone,Comedy,Don Scardino,Steve Buscemi
The Incredible Hulk,Action,Louis Leterrier,Ty Burrell
The Incredibles,Action,Brad Bird,Holly Hunter
The Incredibly True Adventure of Two Girls in Love,Comedy,Maria Maggenti,Nicole Ari Parker
The Indian in the Cupboard,Drama,Frank Oz,Steve Coogan
The Infiltrator,Biography,Brad Furman,Joseph Gilgun
The Informant!,Comedy,Steven Soderbergh,Matt Damon
The Informers,Crime,Gregor Jordan,Austin Nichols
The Inkwell,Comedy,Matty Rich,Jada Pinkett Smith
The Innkeepers,Horror,Ti West,Lena Dunham
The Insider,Biography,Michael Mann,Al Pacino
The Intern,Comedy,Nancy Meyers,Robert De Niro
The International,Action,Tom Tykwer,Naomi Watts
The Internship,Comedy,Shawn Levy,Josh Gad
The Interpreter,Crime,Sydney Pollack,Curtiss Cook
The Interview,Comedy,Evan Goldberg,James Franco
The Invasion,SciFi,Oliver Hirschbiegel,Roger Rees
The Invention of Lying,Comedy,Ricky Gervais,Jennifer Garner
The Iron Giant,Action,Brad Bird,Vin Diesel
The Iron Lady,Biography,Phyllida Lloyd,Meryl Streep
The Island,Action,Michael Bay,Scarlett Johansson
The Island,Action,Michael Bay,Scarlett Johansson
The Island of Dr. Moreau,Horror,John Frankenheimer,Marlon Brando
The Italian Job,Action,F. Gary Gray,Jason Statham
The Jackal,Action,Michael Caton-Jones,J.K. Simmons
The Jacket,Drama,John Maybury,Jennifer Jason Leigh
The Janky Promoters,Comedy,Marcus Raboy,Mike Epps
The Jerky Boys,Comedy,James Melkonian,Vincent Pastore
The Jimmy Show,Comedy,Frank Whaley,Lynn Cohen
The Joneses,Comedy,Derrick Borte,Demi Moore
The Jungle Book,Adventure,Jon Favreau,Scarlett Johansson
The Jungle Book,Adventure,Jon Favreau,Scarlett Johansson
The Jungle Book 2,Adventure,Steve Trenbirth,Haley Joel Osment
The Juror,Drama,Brian Gibson,Joseph Gordon-Levitt
The Karate Kid,Action,John G. Avildsen,Martin Kove
The Karate Kid,Action,John G. Avildsen,Martin Kove
The Kentucky Fried Movie,Comedy,John Landis,David Zucker
The Kid,Comedy,Jon Turteltaub,Bruce Willis
The Kids Are All Right,Comedy,Lisa Cholodenko,Josh Hutcherson
The Killer Inside Me,Crime,Michael Winterbottom,Liam Aiken
The King of Najayo,Crime,Fernando Baez Mella,Manny Perez
The Kingdom,Action,Peter Berg,Jennifer Garner
The King's Speech,Biography,Tom Hooper,Colin Firth
The Kite Runner,Drama,Marc Forster,Mustafa Haidari
The Knife of Don Juan,Comedy,Tom Sanchez,Nataniel Sánchez
The Ladies Man,Comedy,Reginald Hudlin,Will Ferrell
The Lady from Shanghai,Crime,Orson Welles,Rita Hayworth
The Ladykillers,Comedy,Ethan Coen,J.K. Simmons
The Lake House,Drama,Alejandro Agresti,Keanu Reeves
The Land Before Time,Adventure,Don Bluth,Judith Barsi
The Land Girls,Drama,David Leland,Anna Friel
The Last Airbender,Action,M. Night Shyamalan,Seychelle Gabriel
The Last Big Thing,Comedy,Dan Zukovic,Yul Vazquez
The Last Castle,Action,Rod Lurie,Clifton Collins Jr.
The Last Days on Mars,Horror,Ruairi Robinson,Romola Garai
The Last Dragon,Action,Michael Schultz,Mike Starr
The Last Emperor,Biography,Bernardo Bertolucci,Cary-Hiroyuki Tagawa
The Last Exorcism,Drama,Daniel Stamm,Caleb Landry Jones
The Last Exorcism Part II,Drama,Ed Gass-Donnelly,Muse Watson
The Last Five Years,Comedy,Richard LaGravenese,Anna Kendrick
The Last Godfather,Comedy,Hyung-rae Shim,Jason Mewes
The Last House on the Left,Crime,Dennis Iliadis,Tony Goldwyn
The Last House on the Left,Crime,Dennis Iliadis,Tony Goldwyn
The Last King of Scotland,Biography,Kevin Macdonald,David Oyelowo
The Last Legion,Action,Doug Lefler,Colin Firth
The Last of the Mohicans,Action,Michael Mann,Wes Studi
The Last Samurai,Action,Edward Zwick,Tom Cruise
The Last Shot,Comedy,Jeff Nathanson,Matthew Broderick
The Last Sin Eater,Drama,Michael Landon Jr.,Henry Thomas
The Last Song,Drama,Julie Anne Robinson,Kelly Preston
The Last Stand,Action,Jee-woon Kim,Zach Gilford
The Last Station,Biography,Michael Hoffman,David Masterson
The Last Temptation of Christ,Drama,Martin Scorsese,Irvin Kershner
The Last Time I Committed Suicide,Biography,Stephen Kay,Keanu Reeves
The Last Waltz,Documentary,Martin Scorsese,Ringo Starr
The Last Witch Hunter,Action,Breck Eisner,Vin Diesel
The Lawnmower Man,Horror,Brett Leonard,Jeff Fahey
The Lazarus Effect,Horror,David Gelb,Olivia Wilde
The League of Extraordinary Gentlemen,Action,Stephen Norrington,Jason Flemyng
The Legend of Bagger Vance,Drama,Robert Redford,Matt Damon
The Legend of Drunken Master,Action,Chia-Liang Liu,Andy Lau
The Legend of God's Gun,Western,Mike Bruce,Joseph Campanella
The Legend of Hell's Gate: An American Conspiracy,Action,Tanner Beard,William McNamara
The Legend of Hercules,Action,Renny Harlin,Roxanne McKee
The Legend of Suriyothai,Action,Chatrichalerm Yukol,Sarunyu Wongkrachang
The Legend of Tarzan,Action,David Yates,Christoph Waltz
The Legend of Tarzan,Action,David Yates,Christoph Waltz
The Legend of the Lone Ranger,Action,William A. Fraker,Jason Robards
The Legend of Zorro,Action,Martin Campbell,Michael Emerson
The Lego Movie,Action,Phil Lord,Morgan Freeman
The Libertine,Drama,Laurence Dunmore,Johnny Depp
The Life Aquatic with Steve Zissou,Adventure,Wes Anderson,Bill Murray
The Life Before Her Eyes,Drama,Vadim Perelman,Eva Amurri Martino
The Life of David Gale,Crime,Alan Parker,Kevin Spacey
The Limey,Crime,Steven Soderbergh,Peter Fonda
The Lincoln Lawyer,Crime,Brad Furman,Matthew McConaughey
The Lion King,Adventure,Roger Allers,Matthew Broderick
The Lion of Judah,Animation,Deryck Broom,Vic Mignogna
The Little Ponderosa Zoo,Family,Luke Dye,Mike Stanley
The Little Prince,Adventure,Mark Osborne,Jeff Bridges
The Little Vampire,Adventure,Uli Edel,Richard E. Grant
The Lives of Others,Drama,Florian Henckel von Donnersmarck,Sebastian Koch
The Living Daylights,Action,John Glen,Joe Don Baker
The Living Wake,Comedy,Sol Tryon,Jim Gaffigan
The Lizzie McGuire Movie,Adventure,Jim Fall,Clayton Snyder
The Lone Ranger,Action,Gore Verbinski,Johnny Depp
The Long Kiss Goodnight,Action,Renny Harlin,Melina Kanakaredes
The Long Riders,Western,Walter Hill,Dennis Quaid
The Longest Day,Action,Ken Annakin,Richard Burton
The Longest Ride,Drama,George Tillman Jr.,Tiago Riani
The Longest Yard,Comedy,Peter Segal,Adam Sandler
The Longshots,Biography,Fred Durst,Tasha Smith
The Looking Glass,Drama,John D. Hancock,Trish Basinger
The Lord of the Rings: The Fellowship of the Ring,Action,Peter Jackson,Christopher Lee
The Lord of the Rings: The Return of the King,Action,Peter Jackson,Orlando Bloom
The Lord of the Rings: The Two Towers,Action,Peter Jackson,Christopher Lee
The Lords of Salem,Drama,Rob Zombie,Sid Haig
The Losers,Action,Sylvain White,Chris Evans
The Loss of Sexual Innocence,Drama,Mike Figgis,Kelly Macdonald
The Lost Boys,Comedy,Joel Schumacher,Dianne Wiest
The Lost City,Drama,Andy Garcia,Danny Pino
The Lost Medallion: The Adventures of Billy Stone,Adventure,Bill Muir,Alex Kendrick
The Lost Skeleton of Cadavra,Comedy,Larry Blamire,Fay Masterson
The Lost Weekend,Drama,Billy Wilder,Ray Milland
The Lost World: Jurassic Park,Action,Steven Spielberg,Ariana Richards
The Love Guru,Comedy,Marco Schnabel,Justin Timberlake
The Love Letter,Fantasy,Dan Curtis,Jennifer Jason Leigh
The Love Letter,Fantasy,Dan Curtis,Jennifer Jason Leigh
The Loved Ones,Horror,Sean Byrne,Robin McLeavy
The Lovely Bones,Drama,Peter Jackson,Michael Imperioli
The Lovely Bones,Drama,Peter Jackson,Michael Imperioli
The Lovers,Action,Roland Joffé,Tamsin Egerton
The Lovers,Action,Roland Joffé,Tamsin Egerton
The Lucky One,Drama,Scott Hicks,Blythe Danner
The Lucky Ones,Comedy,Neil Burger,John Heard
The Lunchbox,Drama,Ritesh Batra,Nawazuddin Siddiqui
The Machinist,Drama,Brad Anderson,Christian Bale
The Magic Flute,Drama,Kenneth Branagh,Kim-Marie Woodhouse
The Magic Sword: Quest for Camelot,Adventure,Frederik Du Chau,Gary Oldman
The Maid's Room,Thriller,Michael Walker,Paula Garcés
The Majestic,Drama,Frank Darabont,Martin Landau
The Man,Action,Les Mayfield,Miguel Ferrer
The Man from Earth,Drama,Richard Schenkman,William Katt
The Man from Snowy River,Adventure,George Miller,Tony Bonner
The Man from U.N.C.L.E.,Action,Guy Ritchie,Henry Cavill
The Man in the Iron Mask,Action,Randall Wallace,Leonardo DiCaprio
The Man Who Knew Too Little,Action,Jon Amiel,Bill Murray
The Man Who Shot Liberty Valance,Drama,John Ford,Lee Marvin
The Man with the Golden Gun,Action,Guy Hamilton,Christopher Lee
The Man with the Iron Fists,Action,RZA,Rick Yune
The Manchurian Candidate,Drama,Jonathan Demme,Denzel Washington
The Marine,Action,John Bonito,Kelly Carlson
The Marine 4: Moving Target,Action,William Kaufman,Paul McGillion
The Martian,Adventure,Ridley Scott,Matt Damon
The Mask,Action,Chuck Russell,Peter Greene
The Mask of Zorro,Action,Martin Campbell,Anthony Hopkins
The Masked Saint,Action,Warren P. Sonoda,Diahann Carroll
The Master,Drama,Paul Thomas Anderson,Mike Howard
The Master of Disguise,Comedy,Perry Andelin Blake,Jennifer Esposito
The Matador,Comedy,Richard Shepard,Adam Scott
The Matrix,Action,Lana Wachowski,Keanu Reeves
The Matrix Reloaded,Action,Lana Wachowski,Steve Bastoni
The Matrix Revolutions,Action,Lana Wachowski,Essie Davis
The Maze Runner,Action,Wes Ball,Ki Hong Lee
The Mechanic,Action,Simon West,Jason Statham
The Medallion,Action,Gordon Chan,Julian Sands
The Men Who Stare at Goats,Comedy,Grant Heslov,Kevin Spacey
The Merchant of Venice,Drama,Michael Radford,Al Pacino
The Messenger,Drama,Oren Moverman,Steve Buscemi
The Messenger: The Story of Joan of Arc,Adventure,Luc Besson,Paul Brooke
The Mexican,Adventure,Gore Verbinski,J.K. Simmons
The Midnight Meat Train,Fantasy,Ryûhei Kitamura,Bradley Cooper
The Mighty,Comedy,Peter Chelsom,Kieran Culkin
The Mighty Ducks,Comedy,Stephen Herek,Lane Smith
The Mighty Macs,Drama,Tim Chambers,Ellen Burstyn
The Mirror Has Two Faces,Comedy,Barbra Streisand,Jeff Bridges
The Misfits,Drama,John Huston,Montgomery Clift
The Missing Person,Drama,Noah Buschel,Merritt Wever
The Mist,Horror,Frank Darabont,Toby Jones
The Molly Maguires,Drama,Martin Ritt,Frank Finlay
The Mongol King,Crime,Anthony Vallone,Richard Jewell
The Monuments Men,Drama,George Clooney,Bill Murray
The Mortal Instruments: City of Bones,Fantasy,Harald Zwart,Aidan Turner
The Motel,Comedy,Michael Kang,Samantha Futerman
The Mothman Prophecies,Drama,Mark Pellington,Debra Messing
The Mudge Boy,Crime,Michael Burke,Zachary Knighton
The Mummy Returns,Action,Stephen Sommers,Dwayne Johnson
The Mummy: Tomb of the Dragon Emperor,Action,Rob Cohen,Jet Li
The Muppet Christmas Carol,Comedy,Brian Henson,Steven Mackintosh
The Muppet Movie,Adventure,James Frawley,Madeline Kahn
The Muppets,Adventure,James Bobin,Bill Cobbs
The Muse,Comedy,Albert Brooks,Jeff Bridges
The Musketeer,Action,Peter Hyams,Catherine Deneuve
The Naked Ape,Comedy,Daniel Mellitz,Corbin Bernsen
The Naked Gun 2½: The Smell of Fear,Comedy,David Zucker,George Kennedy
The Names of Love,Comedy,Michel Leclerc,Sara Forestier
The Namesake,Drama,Mira Nair,Jacinda Barrett
The Nativity Story,Drama,Catherine Hardwicke,Keisha Castle-Hughes
The Neon Demon,Horror,Nicolas Winding Refn,Keanu Reeves
The Net,Action,Irwin Winkler,Ken Howard
The NeverEnding Story,Adventure,Wolfgang Petersen,Gerald McRaney
The New Guy,Comedy,Ed Decter,Zooey Deschanel
The New World,Biography,Terrence Malick,Christian Bale
The Newton Boys,Action,Richard Linklater,Matthew McConaughey
The Next Best Thing,Comedy,John Schlesinger,Mark Valley
The Next Three Days,Crime,Paul Haggis,Olivia Wilde
The Night Listener,Crime,Patrick Stettner,Robin Williams
The Night Visitor,Crime,Laslo Benedek,Liv Ullmann
The Ninth Gate,Mystery,Roman Polanski,Johnny Depp
The Notebook,Drama,Nick Cassavetes,Ryan Gosling
The November Man,Action,Roger Donaldson,Luke Bracey
The Number 23,Mystery,Joel Schumacher,Logan Lerman
The Nun's Story,Drama,Fred Zinnemann,Colleen Dewhurst
The Nut Job,Adventure,Peter Lepeniotis,Liam Neeson
The Nutcracker,Family,Emile Ardolino,Darci Kistler
The Nutcracker in 3D,Action,Andrey Konchalovskiy,Shirley Henderson
The Nutty Professor,Comedy,Tom Shadyac,Jada Pinkett Smith
The Object of My Affection,Comedy,Nicholas Hytner,Liam Aiken
The Odd Life of Timothy Green,Comedy,Peter Hedges,Jennifer Garner
The Oh in Ohio,Comedy,Billy Kent,Liza Minnelli
The Omega Code,Action,Robert Marcarelli,George Coe
The Omen,Fantasy,Richard Donner,Lee Remick
The Omen,Fantasy,Richard Donner,Lee Remick
The One,Action,James Wong,Jason Statham
The Oogieloves in the Big Balloon Adventure,Adventure,Matthew Diamond,Chazz Palminteri
The Open Road,Comedy,Michael Meredith,Jeff Bridges
The Opposite Sex,Comedy,Jennifer Finnigan,Geoff Stults
The Order,Action,Brian Helgeland,Heath Ledger
The Original Kings of Comedy,Comedy,Spike Lee,Bernie Mac
The Orphanage,Drama,J.A. Bayona,Geraldine Chaplin
The Other Boleyn Girl,Biography,Justin Chadwick,Natalie Portman
The Other Dream Team,Documentary,Marius A. Markevicius,Tommy Sheppard
The Other End of the Line,Comedy,James Dodson,Larry Miller
The Other Guys,Action,Adam McKay,Dwayne Johnson
The Other Side of Heaven,Adventure,Mitch Davis,Anne Hathaway
The Other Woman,Comedy,Nick Cassavetes,Don Johnson
The Others,Fantasy,Alejandro Amenábar,Fionnula Flanagan
The Out-of-Towners,Comedy,Sam Weisman,Oliver Hudson
The Outrageous Sophie Tucker,Documentary,William Gazecki,Carol Channing
The Outsiders,Crime,Francis Ford Coppola,Tom Cruise
The Oxford Murders,Crime,Álex de la Iglesia,Jim Carter
The Pacifier,Action,Adam Shankman,Vin Diesel
The Painted Veil,Drama,John Curran,Toby Jones
The Pallbearer,Comedy,Matt Reeves,Mark Margolis
The Party's Over,Drama,Guy Hamilton,Oliver Reed
The Passion of the Christ,Drama,Mel Gibson,Christo Jivkov
The Past is a Grotesque Animal,Biography,Jason Miller,Jon Brion
The Patriot,Action,Roland Emmerich,Heath Ledger
The Peanuts Movie,Adventure,Steve Martino,Francesca Capaldi
The Pelican Brief,Crime,Alan J. Pakula,Denzel Washington
The Perez Family,Comedy,Mira Nair,Anjelica Huston
The Perfect Game,Comedy,William Dear,Clifton Collins Jr.
The Perfect Host,Comedy,Nick Tomnay,David Hyde Pierce
The Perfect Man,Comedy,Mark Rosman,Ben Feldman
The Perfect Match,Comedy,Bille Woodruff,Donald Faison
The Perfect Storm,Action,Wolfgang Petersen,Karen Allen
The Perfect Wave,Adventure,Bruce Macdonald,Rachel Hendrix
The Perks of Being a Wallflower,Drama,Stephen Chbosky,Logan Lerman
The Pet,Drama,D. Stevens,Magi Avila
The Phantom,Action,Simon Wincer,Cary-Hiroyuki Tagawa
The Phantom of the Opera,Drama,Joel Schumacher,Gerard Butler
The Pianist,Biography,Roman Polanski,Emilia Fox
The Piano,Drama,Jane Campion,Holly Hunter
The Pink Panther,Adventure,Shawn Levy,Roger Rees
The Pirate,Adventure,Vincente Minnelli,Gladys Cooper
The Pirates Who Don't Do Anything: A VeggieTales Movie,Adventure,Mike Nawrocki,Yuri Lowenthal
The Pirates! Band of Misfits,Adventure,Peter Lord,Salma Hayek
The Place Beyond the Pines,Crime,Derek Cianfrance,Ryan Gosling
The Players Club,Comedy,Ice Cube,Bernie Mac
The Pledge,Crime,Sean Penn,Costas Mandylor
The Poker House,Drama,Lori Petty,Jennifer Lawrence
The Polar Express,Adventure,Robert Zemeckis,Tom Hanks
The Possession,Horror,Ole Bornedal,Kyra Sedgwick
The Possession,Horror,Ole Bornedal,Kyra Sedgwick
The Postman,Action,Kevin Costner,Olivia Williams
The Postman Always Rings Twice,Crime,Bob Rafelson,Anjelica Huston
The Prestige,Drama,Christopher Nolan,Christian Bale
The Prince,Action,Brian A Miller,Bruce Willis
The Prince and Me,Comedy,Martha Coolidge,Devin Ratray
The Prince of Egypt,Adventure,Brenda Chapman,Martin Short
The Prince of Tides,Drama,Barbra Streisand,George Carlin
The Princess and the Cobbler,Action,Richard Williams,Donald Pleasence
The Princess and the Frog,Animation,Ron Clements,Oprah Winfrey
The Princess Bride,Adventure,Rob Reiner,Robin Wright
The Princess Diaries,Comedy,Garry Marshall,Anne Hathaway
The Princess Diaries 2: Royal Engagement,Comedy,Garry Marshall,Anne Hathaway
The Prisoner of Zenda,Adventure,John Cromwell,David Niven
The Producers,Comedy,Susan Stroman,Jon Lovitz
The Promise,Action,Kaige Chen,Dong-gun Jang
The Prophecy,Action,Gregory Widen,Viggo Mortensen
The Proposal,Comedy,Anne Fletcher,Ryan Reynolds
The Proposition,Crime,John Hillcoat,Ray Winstone
The Protector,Action,Prachya Pinkaew,Jon Foo
The Puffy Chair,Comedy,Jay Duplass,Mark Duplass
The Punisher,Action,Jonathan Hensleigh,Laura Harring
The Purge,Horror,James DeMonaco,Rhys Wakefield
The Purge: Anarchy,Action,James DeMonaco,Noel Gugliemi
The Purge: Election Year,Action,James DeMonaco,Frank Grillo
The Pursuit of D.B. Cooper,Adventure,Roger Spottiswoode,Robert Duvall
The Pursuit of Happyness,Biography,Gabriele Muccino,Will Smith
The Queen,Biography,Stephen Frears,Roger Allam
The Quick and the Dead,Action,Sam Raimi,Leonardo DiCaprio
The Quiet,Drama,Jamie Babbit,Katy Mixon
The Quiet American,Drama,Phillip Noyce,Brendan Fraser
The R.M.,Comedy,Kurt Hale,Kirby Heyborne
The Rage: Carrie 2,Horror,Katt Shea,Jason London
The Raid: Redemption,Action,Gareth Evans,Iko Uwais
The Railway Man,Biography,Jonathan Teplitzky,Jeremy Irvine
The Rainmaker,Crime,Francis Ford Coppola,Matt Damon
The Raven,Crime,James McTeigue,Pam Ferris
The Reader,Drama,Stephen Daldry,Kate Winslet
The Real Cancun,Documentary,Rick de Oliveira,Laura Ramsey
The Reaping,Horror,Stephen Hopkins,Stephen Rea
The Red Violin,Drama,François Girard,Johannes Silberschneider
The Reef,Horror,Andrew Traucki,Damian Walshe-Howling
The Relic,Horror,Peter Hyams,John Kapelos
The Remains of the Day,Drama,James Ivory,Anthony Hopkins
The Replacement Killers,Action,Antoine Fuqua,Mira Sorvino
The Return,Drama,Andrey Zvyagintsev,Konstantin Lavronenko
The Return of the Living Dead,Comedy,Dan O'Bannon,Linnea Quigley
The Return of the Living Dead,Comedy,Dan O'Bannon,Linnea Quigley
The Return of the Pink Panther,Comedy,Blake Edwards,Burt Kwouk
The Revenant,Adventure,Alejandro G. Iñárritu,Leonardo DiCaprio
The Ridges,Drama,Brandon Landers,Robbie Barnes
The Ridiculous 6,Comedy,Frank Coraci,Taylor Lautner
The Right Stuff,Adventure,Philip Kaufman,Dennis Quaid
The Ring Two,Horror,Hideo Nakata,Naomi Watts
The Rise of the Krays,Crime,Zackary Adler,Simon Merrells
The Rite,Drama,Mikael Håfström,Anthony Hopkins
The River Wild,Action,Curtis Hanson,Meryl Streep
The Road,Adventure,John Hillcoat,Viggo Mortensen
The Road to El Dorado,Adventure,Bibo Bergeron,Frank Welker
The Robe,Drama,Henry Koster,Richard Burton
The Rock,Action,Michael Bay,Nicolas Cage
The Rocker,Comedy,Peter Cattaneo,Emma Stone
The Rocket: The Legend of Rocket Richard,Biography,Charles Binamé,Stephen McHattie
The Rookie,Drama,John Lee Hancock,Dennis Quaid
The Roommate,Drama,Christian E. Christiansen,Leighton Meester
The Rose,Drama,Mark Rydell,David Keith
The Royal Tenenbaums,Comedy,Wes Anderson,Bill Murray
The Rugrats Movie,Adventure,Igor Kovalyov,Elizabeth Daily
The Ruins,Horror,Carter Smith,Laura Ramsey
The Rules of Attraction,Comedy,Roger Avary,Ian Somerhalder
The Runaways,Biography,Floria Sigismondi,Kristen Stewart
The Rundown,Action,Peter Berg,Dwayne Johnson
The Running Man,Action,Paul Michael Glaser,Yaphet Kotto
The Saint,Action,Phillip Noyce,Alun Armstrong
The Salon,Comedy,Mark Brown,Vivica A. Fox
The Salton Sea,Crime,D.J. Caruso,Adam Goldberg
The Santa Clause,Comedy,John Pasquin,Judge Reinhold
The Santa Clause 2,Comedy,Michael Lembeck,Judge Reinhold
The Savages,Comedy,Tamara Jenkins,Philip Seymour Hoffman
The Scarlet Letter,Drama,Roland Joffé,Gary Oldman
The Scorch Trials,Action,Wes Ball,Ki Hong Lee
The Score,Crime,Frank Oz,Robert De Niro
The Scorpion King,Action,Chuck Russell,Dwayne Johnson
The Sea Inside,Biography,Alejandro Amenábar,Belén Rueda
The Second Best Exotic Marigold Hotel,Comedy,John Madden,Tina Desai
The Second Mother,Comedy,Anna Muylaert,Alex Huszar
The Secret in Their Eyes,Drama,Juan José Campanella,Ricardo Darín
The Secret Life of Bees,Drama,Gina Prince-Bythewood,Nate Parker
The Secret Life of Pets,Animation,Yarrow Cheney,Steve Coogan
The Secret Life of Walter Mitty,Adventure,Ben Stiller,Adam Scott
The Secret of Kells,Adventure,Tomm Moore,Sean Lennon
The Sentinel,Action,Clark Johnson,Blair Brown
The Sessions,Biography,Ben Lewin,W. Earl Brown
The Shadow,Action,Russell Mulcahy,Jonathan Winters
The Shaggy Dog,Comedy,Brian Robbins,Robert Downey Jr.
The Shallows,Drama,Jaume Collet-Serra,Óscar Jaenada
The Shawshank Redemption,Crime,Frank Darabont,Morgan Freeman
The Shining,Drama,Stanley Kubrick,Scatman Crothers
The Shipping News,Drama,Lasse Hallström,Kevin Spacey
The Siege,Action,Edward Zwick,Denzel Washington
The Signal,SciFi,William Eubank,Lin Shaye
The Silence of the Lambs,Crime,Jonathan Demme,Anthony Hopkins
The Simpsons Movie,Adventure,David Silverman,Albert Brooks
The Singing Detective,Comedy,Keith Gordon,Robert Downey Jr.
The Singles Ward,Comedy,Kurt Hale,Kirby Heyborne
The Sisterhood of Night,Drama,Caryn Waechter,Laura Fraser
The Sisterhood of the Traveling Pants,Comedy,Ken Kwapis,Mike Vogel
The Sisterhood of the Traveling Pants 2,Comedy,Sanaa Hamri,America Ferrera
The Sitter,Comedy,David Gordon Green,Ari Graynor
The Sixth Sense,Drama,M. Night Shyamalan,Bruce Willis
The Skeleton Key,Horror,Iain Softley,Gena Rowlands
The Skeleton Twins,Comedy,Craig Johnson,Ty Burrell
The Skulls,Action,Rob Cohen,Paul Walker
The Slaughter Rule,Drama,Alex Smith,Ryan Gosling
The Sleepwalker,Drama,Mona Fastvold,Christopher Abbott
The Smurfs,Adventure,Raja Gosnell,Mahadeo Shivraj
The Smurfs 2,Adventure,Raja Gosnell,Jacob Tremblay
